UID	Health Risk	Confirmed Case	Probable case	Suspected Case	Community Case	Note	Threshold	Key Message	TEMPORARY
1	Acute haemorrhagic fever syndrome	A suspected case with laboratory confirmation or epidemiologic link to confirmed cases or outbreak. 		Acute onset of fever of less than 3 weeks duration in a severely ill patient AND any 2 of the following; a) haemorrhagic or purpuric rash; b) epistaxis (nose bleed); c) haematemesis (blood in vomit); d) haemoptysis (blood in sputum); e) blood in stool; f) other haemorrhagic symptoms and no known predisposing factors for haemorrhagic manifestations. 		During an outbreak, case definitions may be changed to correspond to the local event.			
2	Acute viral hepatitis	A suspected case that is laboratory confirmed		Any person with acute illness typically including: a) acute jaundice; b) dark urine; c) anorexia; d) malaise; e) extreme fatigue; f) right upper quadrant tenderness.	Any person with fever and yellowing in the white part of the eyes or yellowing of the skin within two weeks of onset of first symptoms	Infected children are often asymptomatic.			
3	Adverse events following immunization (AEFI)			A medical incident that takes place after immunization, causes concern and is believed to be caused by the immunization	Any unusual event that follows immunization that is thought to be caused by the vaccine				
4	Anthrax	Clinically compatible case of cutaneous, inhalational or gastrointestinal illness that is laboratory-confirmed by: a) isolation of B. anthracis from an affected tissue or site; or b) Other laboratory evidence of B. anthracis infection based on at least two supportive laboratory tests.		Any person with acute onset characterized by several clinical forms which are: a) Cutaneous form: Any person with skin lesion evolving over 1 to 6 days from a papular through a vesicular stage, to a depressed black eschar invariably accompanied by oedema that may be mild to extensive 44 Anthrax, continued; b) Gastro-intestinal: Any person with abdominal distress characterized by nausea, vomiting, anorexia and followed by fever; c) Pulmonary (inhalation): any person with brief prodrome resembling acute viral respiratory illness, followed by rapid onset of hypoxia, dyspnoea and high temperature, with X-ray evidence of mediastinal widening; d) Meningeal: Any person with acute onset of high fever possibly with convulsions, loss of consciousness, meningeal signs and symptoms; commonly noted in all systemic infections, but may present without any other clinical symptoms of anthrax. AND has an epidemiological link to confirmed or suspected animal cases or contaminated animal products 		It may not be possible to demonstrate B. anthracis in clinical specimens if the patient has been treated with antimicrobial agents.			
5	Buruli ulcer (Mycobacterium ulcerans disease)	A suspected case confirmed by at least one laboratory test (ZN for AFB, PCR, culture or histology)		A person presenting a painless skin nodule, plaque or ulcer, living or having visited a BU endemic area 					
6	Chikungunya 	A suspected case with laboratory confirmation. 		Any person with acute onset of fever >38.5°C and severe arthralgia/arthritis not explained by other medical conditions.					
7	Cholera 	A suspected case in which Vibrio cholerae O1 or O139 has been isolated in the stool.		In a patient age 5 years or more, severe dehydration or death from acute watery diarrhoea. If there is a cholera epidemic, a suspected case is any person age 5 years or more with acute watery diarrhoea, with or without vomiting.	Any person 5 years of age or more with lots of watery diarrhoea		1		WHO (Cases, Deaths)
8	Dengue Fever	A suspected case with laboratory confirmation (positive IgM antibody, rise in IgG antibody titres, positive PCR or viral isolation). 		Any person with acute febrile illness of 2-7 days duration with 2 or more of the following: a) headache; b) retro-orbital pain; c) myalgia; d) arthralgia; e) rash; f) haemorrhagic manifestations; g) leucopenia.					
9	Dengue Haemorrhagic Fever	One or more of the following: a) positive tourniquet test; b) petechieae, ecchymoses or purpura; c) bleeding: mucosa, gastrointestinal tract, injection sites or other; d) haematemesis or melaena; e) thrombocytopenia (100,000 cells or less per mm3) AND evidence of plasma leakage due to increased vascular permeability, manifested by one or more of the following: a) 20% rise in average haematocrit for age and sex; b) 20% drop in haematocrit following volume replacement therapy compared to baseline; c) signs of plasma leakage (pleural effusion, ascites, hypo-proteinaemia).							
10	Dengue Shock Syndrome	All Dengue Haemorrhagic Fever symptoms AND a) evidence of circulatory failure manifested by rapid and weak pulse; b) narrow pulse pressure (≤ 20 mm Hg); OR a) hypotension for age; b) cold, clammy skin; c) altered mental status.							
11	Diabetes	Any person with a fasting venous plasma glucose measurement of ≥ 7 mmol/L (126 mg/dl) or capillary glucose ≥ 6.1 mmol/L (110 mg/dl) OR any person with a non-fasting venous plasma glucose measurement of ≥ 11.1mmol/L (200 mg/dl) or capillary glucose ≥ 11,1 nnik>k (200 mg/dl)		Any person presenting with the following symptoms: a) increased thirst; b) increased hunger; c) frequent urination		Report only the first lab-confirmed diagnosis of the patient.			
12	Diarrhoea with blood (dysentery/Shigella) 	Suspected case with stool culture positive for Shigella dysenteriae type 1.		A person with diarrhoea with visible blood in stool. 	Any person with diarrhoea and visible blood in the stool		1		
13	Dracunculiasis	At the last phase of the programme, confirmation of last cases by knowledgeable health staff is required. Follow national guidelines for definition of confirmed case.		A person presenting a skin lesion with itching or blister living in endemic area of Guinea worm.	Any person exhibiting or having a history of a skin lesion with the emergence of a worm				
14	Ebola or Marburg viral hemorrhagic Fevers	A suspected case with laboratory confirmation (positive IgM antibody, positive PCR or viral isolation), or epidemiologic link to confirmed cases or outbreak.		Illness with onset of fever and no response to usual causes of fever in the area, and at least one of the following signs: a) bloody diarrhoea; b) bleeding from gums; c) bleeding into skin (purpura); c) bleeding into eyes and urine.	Any person who has an unexplained illness with fever and bleeding or who died after an unexplained severe illness with fever and bleeding	During an outbreak, these case definitions may be changed to correspond to the local event.			
15	Foodborne Illnesses	A laboratory confirmed case of a specific agent with a link to a common food or drink source.		2 or more people present with similar symptoms who consumed common food or drink		A foodborne illness is defined according to the specific agent causing the disease (for example, cholera, hepatitis A, salmonellosis, shigellosis).			
16	Human influenza (caused by a new subtype) 	A person meeting the criteria for a suspected case AND positive laboratory results from a laboratory whose H5N1 test results are accepted by WHO as confirmatory.		Any person presenting with unexplained acute lower respiratory illness with fever (>38 ºC) and cough, shortness of breath or difficulty breathing AND one or more of the following exposures within the 7 days prior to symptom onset: a) Close contact (within 1 meter) with a person (e.g. caring for, speaking with, or touching) who is a suspected, probable, or confirmed H5N1 case; b) Exposure (e.g. handling, slaughtering, de-feathering, butchering, preparation for consumption) to poultry or wild birds or their remains or to environments contaminated by their faeces in an area where H5N1 infections in animals or humans have been suspected or confirmed in the last month; c) Consumption of raw or undercooked poultry products in an area where H5N1 infections in animals or humans have been suspected or confirmed in the last month; d) Close contact with a confirmed H5N1 infected animal other than poultry or wild birds; e) Handling samples (animal or human) suspected of containing H5N1 virus in a laboratory or other setting.			1		
